id,Birth_y,Sex,LifeTime,LastLog_days_ago,LastPayment_days_ago,Sessions,Payments,Money,Level
208,1963,male,91,2,87,226,1,"4,99",36
209,1963,female,302,2,24,1149,122,"1307,84",723
210,1992,male,279,2,275,57,1,"0,99",18
211,1974,female,115,1,96,287,6,"25,98",66
212,1959,male,99,25,97,17,4,"11,96",31
213,1944,male,508,2,250,866,2,"1,98",69
214,1971,female,485,25,485,5,2,"5,98",5
215,1948,female,304,6,261,448,33,"196,65",23
216,1957,male,80,2,20,173,8,"32,94",69
217,1970,male,469,3,426,551,4,"3,96",46
218,1976,male,89,2,75,127,2,"5,98",24
219,1951,male,340,24,291,69,3,"15,97",12
220,1959,female,304,9,13,75,5,"26,96",52
221,1969,male,286,2,113,764,2,3,56
222,1956,female,140,22,83,29,3,"7,99",19
223,1960,female,107,6,107,66,1,"0,99",13
224,1943,female,83,2,5,109,12,"60,88",86
225,1970,male,327,2,130,360,4,"11,99",45
226,1962,male,109,5,93,108,9,"57,93",90
227,1970,male,345,7,337,81,1,"1,99",12
228,1955,,112,5,18,123,40,"178,63",328
229,1966,male,398,5,346,167,2,"6,98",17
230,1967,female,253,2,194,360,6,"8,94",55
231,1970,male,323,2,224,1598,5,"17,95",17
232,1962,male,120,2,2,85,15,"303,92",198
233,1970,male,87,6,85,10,2,"3,98",41
234,1970,male,332,12,211,28,8,"57,92",7
235,1977,female,701,9,693,37,1,"3,99",17
236,1948,female,124,2,67,211,5,"23,95",55
237,1978,female,685,2,100,107,5,"14,94",25
238,1985,female,309,2,31,106,2,"9,98",48
239,1988,female,893,29,94,15,2,"3,99",21
240,1963,male,324,2,79,345,19,"93,78",21
241,1963,male,501,15,340,537,4,"5,96",35
242,1964,female,102,1,6,200,28,"394,81",185
243,1942,female,82,2,75,166,2,"3,98",29
244,1940,female,862,2,39,534,13,"53,87",65
245,1974,male,111,2,11,340,3,"38,99",114
246,1954,female,137,10,132,29,14,"127,86",75
247,1961,male,84,29,59,208,1,"4,99",37
248,1960,male,884,4,143,26,5,"26,95",36
249,1945,female,301,19,265,141,15,"221,82",16
250,1977,male,82,3,47,54,22,"512,8",225
251,1960,male,690,4,25,537,28,"155,75",91
252,1951,,491,2,167,355,4,"4,96",32
253,1970,male,324,7,319,78,1,"0,99",12
254,1957,female,265,2,110,484,9,"32,93",75
255,1945,female,877,5,683,48,1,"5,99",9
256,1945,female,307,2,110,982,12,"76,87",41
257,1970,female,71,6,64,47,8,"18,93",41
258,1966,male,70,3,70,9,3,"9,97",41
259,1977,male,69,7,21,44,17,"177,83",143
260,1966,female,858,3,630,896,60,"226,93",57
261,1948,male,706,27,528,161,3,"9,97",25
262,1958,male,469,2,33,675,7,"14,98",56
263,1958,female,150,3,52,99,15,"69,94",93
264,1960,female,89,7,85,117,3,"35,97",59
265,1953,male,504,3,296,459,3,"52,96",51
266,1969,female,333,4,96,500,22,"130,8",150
267,1947,male,306,2,4,1896,54,"1258,54",448
268,1970,male,293,2,78,105,4,"10,97",22
269,1975,male,84,2,5,169,2,"19,98",50
270,1971,male,306,29,302,336,7,"59,93",449
271,1965,female,143,2,125,256,2,3,20
272,1939,female,522,17,124,113,3,"18,97",40
273,1969,male,303,2,17,437,22,"409,78",220
274,1953,male,142,2,6,299,64,"4692,4",489
275,1978,male,345,6,252,141,2,"1,98",15
276,1962,male,276,2,262,81,1,"0,99",6
277,1905,female,113,2,21,272,3,"15,97",76
278,1970,female,304,10,14,127,19,"498,81",80
279,1954,male,275,2,46,491,5,"21,96",37
280,1956,male,112,2,8,45,7,"61,94",74
281,1957,male,500,2,77,2963,11,"46,89",185
282,1974,male,89,7,26,68,3,"16,99",63
283,1970,male,497,11,488,32,1,"0,99",11
284,1963,male,301,5,181,105,11,"100,88",19
285,1946,female,98,2,88,92,1,2,42
286,1942,male,522,3,386,13,2,"34,98",10
287,1970,female,319,7,7,23,7,"33,93",46
288,1962,male,297,27,267,128,3,"3,97",13
289,1952,male,144,2,135,474,8,"129,92",17
290,1947,female,142,5,122,165,2,5,18
291,1961,male,112,2,26,65,12,"155,88",138
292,1954,male,310,14,14,57,19,"44,81",25
293,1945,male,110,3,24,161,5,"19,96",61
294,1953,male,507,7,261,517,1,"0,99",37
295,1935,female,281,2,43,1165,1,"0,99",49
296,1960,female,117,4,50,72,15,"75,86",78
297,1970,male,323,3,316,122,3,"5,97",17
298,1939,male,905,2,254,513,17,"143,89",122
299,1945,female,301,2,200,667,13,"286,87",46
300,1960,male,296,15,15,3,1,"0,99",7
301,1950,male,87,2,8,497,27,"618,83",222
302,1948,male,305,2,88,410,4,"21,97",35
303,1947,male,360,10,311,199,7,"43,93",22
304,1959,female,302,4,295,62,3,"25,97",16
305,1968,male,285,2,285,1446,1,"24,99",42
306,1948,male,116,6,111,7,1,"2,99",40
307,1952,female,314,2,16,504,20,"91,81",72
308,1978,male,109,29,109,30,1,2,15
309,1963,male,500,4,354,373,1,"0,99",18
310,1954,female,306,2,181,522,2,"13,98",22
311,1963,male,305,4,60,257,3,"4,99",27
312,1946,male,96,8,71,66,1,"0,99",7
313,1942,male,868,5,831,400,6,16,48
314,1953,male,335,2,14,363,6,"11,94",58
315,1957,male,488,2,45,1431,8,"354,93",255
316,1972,female,123,5,40,104,11,"30,89",70
317,1958,female,118,2,34,467,12,"49,93",78
318,1976,female,326,2,2,287,48,"88,56",76
319,1947,male,96,4,9,51,32,"423,73",171
320,1958,female,491,2,7,887,22,"169,78",97
321,1947,male,470,16,82,302,158,"2457,36",130
322,1963,female,315,2,6,288,7,"34,94",76
323,1973,male,297,17,36,18,2,"6,99",38
324,1956,female,136,12,134,42,1,"4,99",26
325,1951,male,129,2,2,904,17,"95,98",117
326,1951,male,295,5,196,201,4,"4,96",12
327,1990,male,373,19,220,20,3,"28,97",8
328,1943,male,254,2,32,1128,22,"663,8",279
329,1977,male,346,3,48,27,1,"0,99",20
330,1947,female,116,2,38,124,2,"5,98",29
331,1959,male,90,13,54,18,2,"57,99",106
332,1948,male,92,2,2,111,27,"132,77",102
333,1943,male,82,2,11,69,7,"41,95",116
334,1981,male,72,28,66,79,6,"26,95",68
335,1960,male,87,2,9,701,33,"819,76",609
336,1938,female,696,8,220,22,12,"486,88",136
337,1965,male,279,20,120,525,24,"104,77",67
338,1946,male,344,16,338,113,5,"44,95",16
339,1967,female,299,14,299,4,3,"2,97",3
340,1956,female,91,2,46,122,1,"0,99",28
341,1983,male,337,27,322,195,1,"9,99",22
342,1970,male,726,13,274,82,1,"0,99",24
343,1973,female,507,14,489,115,3,"16,97",27
344,1970,female,328,6,326,669,1,"4,99",44
345,1964,female,287,24,161,379,11,"10,89",78
346,1955,female,281,2,281,8,1,"4,99",4
347,1974,female,120,2,14,158,6,"15,98",43
348,1955,male,872,2,6,112,4,"9,96",47
349,1960,female,867,2,160,298,5,"23,95",36
350,1959,female,294,6,292,61,2,"9,98",7
351,1970,male,141,2,114,170,1,"0,99",28
352,1967,male,726,3,145,2010,2,"13,99",52
353,1969,male,701,2,3,230,23,"946,81",560
354,1949,female,83,2,2,215,10,"92,91",122
355,1984,male,278,2,56,214,3,"9,98",65
356,1949,female,135,2,5,713,22,"960,79",347
357,1956,female,523,18,491,121,10,"71,9",24
358,1970,male,128,18,50,142,14,"100,86",96
359,1963,male,386,11,183,304,1,"0,99",31
360,1960,male,897,10,418,288,1,"0,99",22
361,1977,female,304,2,266,44,3,"5,97",11
362,1963,female,290,3,222,155,4,"3,96",9
363,1990,female,204,3,67,206,7,"72,95",99
364,1968,male,72,27,54,71,2,"26,98",91
365,1950,female,117,7,52,177,3,"17,97",38
366,1970,male,314,12,12,46,30,"1769,72",510
367,1952,male,301,2,260,761,1,"0,99",100
368,1957,female,296,6,157,69,2,"1,98",18
369,1970,male,280,8,267,9,2,"1,98",5
370,1971,male,114,27,35,63,1,"4,99",34
371,1947,male,104,2,3,763,13,"148,94",126
372,1965,female,907,2,7,37,4,"7,96",8
373,1968,male,527,2,435,788,9,"46,91",24
374,1969,male,299,14,237,179,6,"13,92",27
375,1984,male,507,10,62,40,2,"2,99",37
376,1989,male,477,7,404,63,13,"76,87",13
377,1964,female,113,2,76,249,3,"5,99",57
378,1973,male,490,3,253,621,6,"12,94",52
379,1962,male,342,3,317,31,1,"0,99",7
380,1970,female,328,12,14,30,2,"3,99",13
381,1966,male,134,7,122,47,1,"0,99",19
382,1964,female,120,7,38,190,6,"18,95",69
383,1961,female,110,2,2,84,23,"63,79",79
384,1967,male,101,2,80,173,1,"4,99",35
385,1968,female,307,8,30,530,25,"107,73",73
386,1969,female,136,10,67,26,1,"0,99",12
387,1962,male,627,2,152,1195,6,"8,96",37
388,1962,male,350,7,348,22,2,"6,98",9
389,1993,male,686,2,275,566,1,"0,99",7
390,1970,male,322,2,2,39,17,"87,85",65
391,1967,female,342,5,110,132,2,"2,99",33
392,1976,male,332,26,213,103,2,"1,98",12
393,1967,male,278,12,278,13,1,"4,99",7
394,1958,male,136,2,73,262,7,"26,95",51
395,1966,male,113,2,16,95,15,"219,88",115
396,1905,male,103,10,17,39,1,"0,99",21
397,1997,female,484,19,200,249,1,"0,99",20
398,1966,male,342,7,306,99,1,"0,99",34
399,1931,female,304,3,4,302,66,"633,36",152
400,1963,female,123,2,64,322,1,2,40
401,1970,male,122,6,121,6,1,"0,99",12
402,1948,female,875,2,2,407,17,"103,89",49
403,1962,male,303,2,24,521,28,"223,73",147
404,1964,female,133,7,64,74,17,"116,84",91
405,1965,male,94,3,29,34,1,2,26
406,1959,male,144,2,40,98,5,"18,97",60
407,1971,male,114,10,12,114,21,"199,84",189
408,1971,male,82,5,56,22,7,"65,93",115
409,1962,male,314,16,83,133,5,"9,97",25
410,1970,male,276,30,184,523,7,"14,93",46
411,1979,male,112,2,99,39,3,"86,98",137
412,1961,male,81,2,76,242,6,"187,95",109
413,1972,male,306,4,31,22,9,"218,92",97
414,1955,female,83,2,72,180,1,"4,99",26
415,1964,male,21,2,12,5,2,"9,98",48
416,1997,male,30,2,29,17,1,"1,99",25
417,1944,male,498,29,498,6,5,"80,95",6
418,1952,male,488,2,111,270,1,"9,99",41
419,1998,male,146,11,145,50,1,1,11
420,1958,male,110,2,53,335,8,"38,96",761
421,1964,male,321,14,96,16,3,"5,98",22
422,1955,female,307,1,13,753,24,"1689,81",231
423,1945,female,83,2,2,42,6,"18,95",43
424,1961,male,83,3,67,76,1,"4,99",37
425,1953,male,508,7,461,17,1,"0,99",23
426,1965,female,98,3,5,59,4,9,58
427,1961,female,287,4,10,303,11,"58,91",70
428,1961,male,114,14,88,102,4,"9,99",47
429,1943,male,502,3,477,158,2,"14,98",14
430,1958,male,282,5,173,28,5,"35,95",12
431,1964,male,284,3,71,224,7,"19,98",48
432,1955,male,137,18,75,72,4,"10,98",44
433,1963,male,94,2,30,63,5,"14,98",46
434,1995,male,688,15,92,126,2,"10,98",52
435,1959,female,101,3,32,103,8,"40,92",97
436,1950,male,328,1,5,1490,20,"143,85",107
437,1970,female,320,24,292,278,45,"969,55",22
438,1951,female,114,16,16,191,18,"92,82",92
439,1968,male,372,16,38,114,8,"23,93",72
440,1975,female,362,28,30,42,4,"15,97",82
441,1959,male,886,16,491,233,8,"66,92",39
442,1958,male,499,2,95,584,3,"7,98",46
443,1965,male,10,9,9,4,1,"0,99",22
444,1979,female,539,2,133,337,9,"47,91",657
445,1959,male,293,18,66,57,2,"3,98",47
446,1970,female,84,25,67,10,1,2,14
447,1948,male,498,16,35,71,18,"94,82",55
448,1970,male,287,3,130,279,15,"15,86",23
449,1961,female,300,2,259,298,4,"12,95",245
450,1965,male,312,12,12,50,10,"26,93",25
451,1955,male,121,10,99,34,1,"2,99",30
452,1970,female,338,3,46,403,31,"218,73",66
453,1948,male,493,2,409,514,1,"4,99",22
454,1935,male,141,3,17,170,20,"489,88",250
455,1972,male,305,3,94,245,11,"104,89",47
456,1987,male,301,28,44,157,2,"3,99",50
457,1965,female,130,3,56,124,14,"120,9",89
458,1979,female,116,3,19,39,14,"128,9",131
459,1951,,863,4,94,2906,8,"41,94",113
460,1956,male,712,2,341,317,1,"0,99",18
461,1948,female,334,3,21,288,23,"129,76",83
462,1990,female,307,3,11,64,11,"226,9",87
463,1970,female,238,25,166,92,5,"32,95",14
464,1970,male,152,11,11,26,6,"17,95",44
465,1954,male,89,2,70,220,2,"3,98",28
466,1941,male,857,15,230,100,1,"0,99",9
467,1951,male,518,2,38,723,4,"7,98",57
468,1941,male,294,3,3,36,6,"21,96",85
469,1949,female,149,6,62,282,6,"14,98",50
470,1976,female,536,3,261,216,1,"0,99",27
471,1960,,135,2,10,158,5,"13,98",62
472,1959,male,122,27,75,10,2,"3,98",103
473,1947,female,117,3,27,150,18,"222,85",110
474,1951,male,495,11,367,75,1,"0,99",12
475,1968,male,87,6,55,87,2,"2,99",36
476,1947,female,863,2,557,1913,8,"54,94",121
477,1947,male,892,3,891,24,2,2,13
478,1973,male,540,21,535,12,2,"14,98",6
479,1970,female,336,4,324,377,3,"24,97",19
480,1942,female,861,13,31,10,2,"5,98",22
481,1986,male,133,11,33,35,18,"106,84",93
482,1945,male,917,2,4,1049,11,"54,89",56
483,1964,male,293,2,2,557,67,"965,38",141
484,1952,male,713,2,95,2156,12,"61,93",115
485,1982,female,304,30,297,102,1,"0,99",19
486,1953,female,296,11,214,100,11,"48,88",8
487,1958,male,295,28,277,50,4,"12,96",12
488,1957,male,328,18,65,25,1,"4,99",53
489,1966,male,287,3,21,95,6,"16,94",44
490,1966,male,149,2,49,165,17,"56,83",101
491,1940,female,139,5,33,93,7,"20,94",25
492,1961,male,130,2,10,284,19,"143,88",378
493,1952,male,858,15,40,56,1,2,28
494,1973,female,279,11,244,226,1,"0,99",30
495,1970,female,101,11,36,72,5,"24,95",57
496,1956,male,707,2,3,244,59,"411,46",134
497,1970,male,321,1,309,1759,1,"0,99",793
498,1956,male,110,3,59,31,3,"10,99",36
499,1970,male,280,7,280,32,1,"4,99",6
500,1952,female,134,21,117,74,1,2,16
501,1980,male,101,2,92,25,1,"9,99",22
502,1973,male,721,23,690,9,1,"5,99",5
503,1952,male,294,2,35,699,12,"19,87",50
504,1949,female,112,3,14,143,16,"202,89",167
505,1949,male,689,27,676,320,1,"0,99",20
506,1963,male,292,11,260,5,1,"0,99",8
507,1985,male,87,13,46,57,8,"52,93",79
508,1956,male,537,30,35,67,3,"8,97",53
509,1943,male,149,24,149,31,1,"9,99",41
510,1970,male,97,22,97,4,2,"3,98",29
511,1967,male,505,15,259,549,3,"49,96",76
512,1970,female,322,4,122,298,11,"55,89",26
513,1944,female,118,2,23,307,5,"20,96",50
514,1964,male,484,13,158,221,6,"65,95",42
515,1961,male,215,15,203,252,12,"104,88",16
516,1985,female,150,2,3,620,23,"106,83",84
517,1953,female,683,2,625,2244,14,"65,86",40
518,1958,male,679,6,673,379,1,"0,99",24
519,1971,male,494,2,48,1750,5,"42,95",787
520,1933,male,475,4,19,51,9,"42,91",40
521,1975,male,873,15,499,580,1,"0,99",19
522,1958,female,528,3,89,237,8,"75,94",104
523,1964,male,122,23,120,26,2,"19,98",38
524,1949,male,287,3,52,136,43,"608,56",95
525,1935,female,85,2,73,347,2,"3,98",38
526,1963,male,886,2,14,523,2,5,48
527,1967,male,132,7,32,29,1,2,15
528,1970,male,319,2,230,583,4,"19,96",24
529,1948,female,109,5,25,767,51,"391,51",127
530,1975,male,340,2,263,763,2,"1,98",59
531,1954,male,343,2,268,497,2,"1,98",30
532,1945,female,216,12,189,914,3,"24,97",38
533,1965,male,149,2,141,19,1,"0,99",10
534,1958,female,137,30,109,21,16,"245,84",128
535,1947,female,83,2,46,202,5,"22,97",60
536,1905,female,285,3,3,560,144,"5048,62",393
537,1955,male,277,10,42,16,3,"26,97",34
538,1936,male,119,2,13,239,20,"89,84",137
539,1963,female,890,18,177,127,13,"59,87",11
540,1974,male,496,1,216,536,3,"2,97",48
541,1970,female,328,2,13,892,87,"1380,15",96
542,1944,female,293,2,161,572,19,"90,8",19
543,1980,female,297,10,69,246,6,"17,95",37
544,1948,female,495,4,139,387,4,"8,99",32
545,1986,female,312,1,118,1585,5,"10,96",27
546,1973,female,286,25,286,26,1,"9,99",3
547,1962,female,276,2,5,243,15,"138,9",97
548,1969,female,706,6,256,27,3,"8,97",9
549,1973,female,533,7,44,314,1,"0,99",21
550,1961,male,312,5,202,72,3,"3,97",13
551,1972,male,306,2,67,68,8,"20,94",51
552,1973,female,304,5,187,190,20,"94,8",19
553,1953,male,144,4,143,11,2,"3,98",23
554,1978,female,85,18,82,50,3,"9,98",54
555,1964,female,345,27,258,20,1,"0,99",37
556,1959,female,117,2,74,205,3,"25,98",645
557,1942,male,909,20,430,11,2,"6,98",5
558,1954,female,301,2,268,611,1,"4,99",29
559,1965,female,82,2,55,249,4,"29,96",45
560,1965,male,530,13,482,368,1,"0,99",23
561,1966,female,297,5,24,8,2,"10,98",27
562,1965,female,125,25,123,188,2,"2,99",24
563,1945,female,101,2,6,105,9,"39,94",97
564,1962,female,265,3,235,60,5,"5,95",9
565,1934,female,217,14,197,22,5,"94,95",8
566,1981,female,154,2,9,21,6,"24,96",57
567,1961,male,528,7,526,36,1,"0,99",10
568,1982,female,294,24,246,40,6,"5,94",12
569,1953,female,113,2,94,286,9,"87,96",79
570,1953,male,882,22,100,57,24,"2069,79",201
571,1960,male,480,11,257,165,1,"4,99",11
572,1999,male,277,2,275,296,1,"0,99",17
573,1970,male,129,29,67,39,3,"6,98",34
574,1970,male,327,3,9,14,2,"4,98",16
575,1978,female,304,4,4,23,2,"3,98",19
576,1953,male,139,2,95,131,4,"12,96",60
577,1975,male,724,6,356,897,19,"115,81",92
578,1948,female,280,9,121,861,40,"235,6",66
579,1962,female,137,25,25,4,1,"0,99",9
580,1965,male,121,2,40,307,5,"17,96",45
